publish,score,title
张爱玲 / 哈尔滨出版社 / 2005-6 / 13.5元,8.6,金锁记
中华书局 / 2006-12 / 9.80元,9.1,论语
张爱玲 / 安徽文艺出版社 / 1992年 / 45元,8.9,张爱玲文集
齐邦媛 / 生活·读书·新知三联书店 / 2010-10 / 39.00元,8.7,巨流河
[美] G. 伽莫夫 / 暴永宁 译 / 科学出版社 / 2002-11 / 29.00元,9.1,从一到无穷大
[日] 村上春树 / 林少华 / 上海译文出版社 / 2007-7 / 23.00元,8.5,挪威的森林
林达 / 生活·读书·新知三联书店 / 2006-3 / 21.00元,8.9,如彗星划过夜空
[美] E.B.怀特 / 任溶溶 / 上海译文出版社 / 2004-5 / 17.00元,8.6,夏洛的网
冯友兰 / 赵复三 / 新世界出版社 / 2004-1 / 38.00元,8.9,中国哲学简史
[加拿大] 阿利斯泰尔·麦克劳德 / 陈以侃 / 上海文艺出版社 / 2015-6-1 / CNY 20.00,9.1,海风中失落的血色馈赠
[清] 曹雪芹 著 / 人民文学出版社 / 1996-12 / 59.70元,9.6,红楼梦
余华 / 作家出版社 / 2012-8-1 / 20.00元,9.4,活着
[哥伦比亚] 加西亚·马尔克斯 / 范晔 / 南海出版公司 / 2011-6 / 39.50元,9.3,百年孤独
[英] 乔治·奥威尔 / 刘绍铭 / 北京十月文艺出版社 / 2010-4-1 / 28.00,9.4,1984
[美国] 玛格丽特·米切尔 / 李美华 / 译林出版社 / 2000-9 / 40.00元,9.3,飘
刘慈欣 / 重庆出版社 / 2012-1-1 / 168.00元,9.4,三体全集
[明] 罗贯中 / 人民文学出版社 / 1998-05 / 39.50元,9.3,三国演义（全二册）
[日] 东野圭吾 / 刘姿君 / 南海出版公司 / 2013-1-1 / 39.50元,9.1,白夜行
林奕含 / 北京联合出版公司 / 2018-2 / 45.00元,9.2,房思琪的初恋乐园
[英] 阿·柯南道尔 / 丁钟华 等 / 群众出版社 / 1981-8 / 53.00元/68.00元,9.3,福尔摩斯探案全集（上中下）
[法] 圣埃克苏佩里 / 马振聘 / 人民文学出版社 / 2003-8 / 22.00元,9.0,小王子
[英] 乔治·奥威尔 / 荣如德 / 上海译文出版社 / 2007-3 / 10.00元,9.3,动物农场
三毛 / 哈尔滨出版社 / 2003-8 / 15.80元,9.2,撒哈拉的故事
金庸 / 生活·读书·新知三联书店 / 1994-5 / 96.00元,9.1,天龙八部
（丹麦）安徒生 / 叶君健 / 人民文学出版社 / 1997-08 / 25.00元,9.2,安徒生童话故事集
路遥 / 人民文学出版社 / 2005-1 / 64.00元,9.0,平凡的世界（全三部）
钱锺书 / 人民文学出版社 / 1991-2 / 19.00,8.9,围城
[法] 阿尔贝·加缪 / 柳鸣九 / 上海译文出版社 / 2010-8 / 22.00元,9.0,局外人
[哥伦比亚] 加西亚·马尔克斯 / 杨玲 / 南海出版公司 / 2012-9-1 / 39.50元,9.0,霍乱时期的爱情
王小波 / 中国青年出版社 / 1997-10 / 27.00元,9.1,沉默的大多数
当年明月 / 中国海关出版社 / 2009-4 / 358.20元,9.1,明朝那些事儿（1-9）
J.K.罗琳 (J.K.Rowling) / 苏农 / 人民文学出版社 / 2008-12-1 / 498.00元,9.7,哈利·波特
[以色列] 尤瓦尔·赫拉利 / 林俊宏 / 中信出版社 / 2014-11 / 68.00元,9.1,人类简史
[美] 乔治·R. R. 马丁 / 谭光磊 / 重庆出版社 / 2005-5 / 68.00元,9.3,冰与火之歌（卷一）
[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2006-5 / 29.00元,8.9,追风筝的人
金庸 / 有1996年11月北平第4次印本 / 生活·读书·新知三联书店 / 1994-5 / 76.80元,8.9,神雕侠侣
余华 / 南海出版公司 / 1998-9 / 16.80元,8.8,许三观卖血记
柴静 / 广西师范大学出版社 / 2013-1-1 / 39.80元,8.8,看见
鲁迅 / 人民文学出版社 / 1973-3 / 0.20元,9.4,野草
[法] 雨果 / 李丹 / 人民文学出版社 / 1992-6 / 66.00元,9.0,悲惨世界（上中下）
[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2007-9 / 28.00元,8.8,灿烂千阳
司马迁 / （索隐）司马贞，（正义）张守节 / 中华书局 / 1982-11 / 125.00,9.5,史记（全十册）
鲁迅 / 人民文学出版社 / 1973-3 / 0.37元,9.1,彷徨
鲁迅 / 人民文学出版社 / 1972-4 / 0.25元,8.9,朝花夕拾
[美] 傅高义 / 冯克利 / 生活·读书·新知三联书店 / 2013-1 / 88.00元,9.2,邓小平时代
三毛 / 哈尔滨出版社 / 2003-6 / 15.80元,8.9,哭泣的骆驼
木心 口述 / 广西师范大学出版社 / 2013-1-10 / 98.00元,9.1,文学回忆录
[意] 伊塔洛·卡尔维诺 / 吴正仪 / 译林出版社 / 2012-4-1 / 30.00元,9.1,树上的男爵
[英] 贡布里希 (Sir E.H.Gombrich) / 范景中 / 广西美术出版社 / 2008-04 / 280.00,9.6,艺术的故事
[俄] 费奥多尔·陀思妥耶夫斯基 / 荣如德 / 上海译文出版社 / 2006-8 / 25.00元,9.4,卡拉马佐夫兄弟
曹天元 / 辽宁教育出版社 / 2006-1 / 32.00元,9.2,上帝掷骰子吗
吴承恩 / 黄肃秋 注释 / 人民文学出版社 / 2004-8 / 47.20元,8.9,西游记（全二册）
吴军 / 电子工业出版社 / 2011-8 / 55.00元,9.0,浪潮之巅
